epoch_number,epoch_date,pool_name,pool_type,pool_votes,pool_votes_total,pool_vote_pct,fees_bribes_usd,fees_usd,bribes_usd,bribe_tokens,fees_token0_usd,token0,fees_token1_usd,token1,aero_usd,pool_address,voter_address,actual_votes_total,actual_votes,actual_vote_pct,actual_earnings_usd,prop_bc5_votes,prop_bc5_vote_pct,prop_bc5_earnings_usd,opt_10bc_votes,opt_10bc_vote_pct,opt_10bc_earnings_usd,opt_10_votes,opt_10_vote_pct,opt_10_earnings_usd
149,"2026-07-02","vAMM-USDC/AERO","aero",98996240.6125154,993785644.5529362,9.9615,73031.54,73031.01,0.53,AERO,32066.02,"USDC",40964.99,"AERO",0.5821722761,"0x6cDcb1C4A4D1C3C6d054b27AC5B77e89eAFb971d","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,900590.80,16.8400,664.38,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL50-WETH/USDC","bluechip",86487150.36748505,993785644.5529362,8.7028,107854.18,107827.73,26.45,USDC,60613.64,"WETH",47214.09,"USDC",0.5821722761,"0x3FE04A59Ebd38cF06080a6F60a98D124eb59392A","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,666351.62,12.4600,830.98,1619161.76,30.2764,1997.18,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL100-WETH/cbBTC","bluechip",62529648.03649924,993785644.5529362,6.2921,80858.47,80858.47,0,,40335.11,"WETH",40523.37,"cbBTC",0.5821722761,"0x70aCDF2Ad0bf2402C957154f944c19Ef4e1cbAE1","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,467943.56,8.7500,605.11,1213888.44,22.6983,1551.20,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL200-WETH/AERO","aero",57233525.72867325,993785644.5529362,5.7591,39388.89,39388.89,0,,20246.42,"WETH",19142.48,"AERO",0.5821722761,"0x4e506648d493C8870f55e870480f92f2F33ecE51","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,529979.50,9.9100,364.74,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL10-WETH/cbBTC","bluechip",53011245.674796,993785644.5529362,5.3343,63662.86,63662.28,0.58,AERO,32597.59,"WETH",31064.68,"cbBTC",0.5821722761,"0x42d4a22CaD0F5a49681a5715cE994Af73A43B76b","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,362054.61,6.7700,434.80,955739.20,17.8712,1135.07,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL50-msUSD/USDC","stablecoin",45702790.045943454,993785644.5529362,4.5989,23449.91,23449.91,0,,10761.95,"msUSD",12687.96,"USDC",0.5821722761,"0x7501bc8Bb51616F79bfA524E464fb7B41f0B10fB","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,450830.19,8.4300,231.32,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL50-USDC/cbBTC","bluechip",36206237.08850723,993785644.5529362,3.6433,54500.38,54500.38,0,,25922.64,"USDC",28577.74,"cbBTC",0.5821722761,"0x160D7E9d948B16c163332a277b393c288408eb12","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,303227.42,5.6700,456.44,818187.40,15.2992,1214.33,377010.34,7.0497,566.35,0.00,0.0000,0.00
149,"2026-07-02","CL50-WETH/msETH","bluechip",33844109.35071268,993785644.5529362,3.4056,27155.68,27155.68,0,,12463.86,"WETH",14691.82,"msETH",0.5821722761,"0x74F72788F4814D7fF3C49B44684aa98Eee140C0E","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,330501.85,6.1800,265.19,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL2000-USDC/AERO","aero",29021475.85456502,993785644.5529362,2.9203,29199.33,29199.33,0,,11674.19,"USDC",17525.14,"AERO",0.5821722761,"0xBE00fF35AF70E8415D0eB605a286D8A45466A4c1","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,262048.39,4.9000,263.65,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00
149,"2026-07-02","CL100-WETH/USDC","bluechip",28031517.11132396,993785644.5529362,2.8207,49355.48,49355.31,0.17,AERO,26666.35,"WETH",22688.96,"USDC",0.5821722761,"0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","0xa79cd47655156b299762dfe92a67980805ce5a31",5347926.344628165,319271.20,5.9700,562.15,740949.55,13.8549,1285.27,2620091.39,48.9927,4263.30,1772428.97,33.1424,2966.93
